Date,USD_PKR,USD_IRR,PKR_IRR,PKR_USD,IRR_USD,Year,Month,Quarter,DayOfWeek,WeekOfYear,PKR_DailyChange%,IRR_DailyChange%,PKR_MA30,PKR_MA90,IRR_MA30,IRR_MA90,PKR_Volatility30,IRR_Volatility30,PKR_CumChange%,IRR_CumChange%,Decade,PKR_Drawdown%,IRR_Drawdown%
2002-04-01,60.154998779296875,8298.2998046875,137.94863225138104,0.01662372238870634,0.00012050661262384437,2002,4,2,0,14,,,,,,,,,0.0,0.0,2000s,0.0,0.0
2003-01-02,58.275001525878906,8298.2998046875,142.39896331881468,0.017160016710697425,0.00012050661262384437,2003,1,1,3,1,-3.12525524323507,0.0,,,,,,,-3.1252552432350713,0.0,2000s,0.0,0.0
2003-04-21,57.814998626708984,8298.2998046875,143.53195540601305,0.017296549749255322,0.00012050661262384437,2003,4,2,0,17,-0.7893657436725099,0.0,,,,,,,-3.889951292615157,0.0,2000s,0.0,0.0
2003-12-01,57.0,8298.2998046875,145.5842070997807,0.017543859649122806,0.00012050661262384437,2003,12,4,0,49,-1.4096664292446714,0.0,,,,,,,-5.244782384373863,0.0,2000s,0.0,0.0
2003-12-02,57.0,8286.7001953125,145.38070518092104,0.017543859649122806,0.00012067529612880956,2003,12,4,1,49,0.0,-0.139782963354107,,,,,,,-5.244782384373863,-0.13978296335410387,2000s,0.0,0.0
2003-12-03,57.0,8294.0,145.50877192982455,0.017543859649122806,0.00012056908608632747,2003,12,4,2,49,0.0,0.08809060923464784,,,,,,,-5.244782384373863,-0.05181548978347527,2000s,0.0,0.08809060923465346
2003-12-04,57.0,8290.599609375,145.44911595394737,0.017543859649122806,0.00012061853751436763,2003,12,4,3,49,0.0,-0.040998198999275814,,,,,,,-5.244782384373863,-0.09279244536513798,2000s,0.0,0.047056294672103184
2003-12-05,57.0,8294.0,145.50877192982455,0.017543859649122806,0.00012056908608632747,2003,12,4,4,49,0.0,0.04101501441651223,,,,,,,-5.244782384373863,-0.05181548978347527,2000s,0.0,0.08809060923465346
2003-12-08,57.0,8274.099609375,145.15964226973685,0.017543859649122806,0.00012085907194868021,2003,12,4,0,50,0.0,-0.23993719104171696,,,,,,,-5.244782384373863,-0.2916283561944812,2000s,0.0,0.0
2003-12-09,57.0,8264.099609375,144.98420367324562,0.017543859649122806,0.00012100531785284571,2003,12,4,1,50,0.0,-0.12085907194867573,,,,,,,-5.244782384373863,-0.41213496881832556,2000s,0.0,0.0
2003-12-10,57.0,8256.599609375,144.8526247258772,0.017543859649122806,0.00012111523475893692,2003,12,4,2,50,0.0,-0.09075398838963578,,,,,,,-5.244782384373863,-0.5025149282862088,2000s,0.0,0.0
2003-12-11,57.0,8257.2001953125,144.86316132127192,0.017543859649122806,0.00012110642546461286,2003,12,4,3,50,0.0,0.00727401068132405,,,,,,,-5.244782384373863,-0.49527747059444477,2000s,0.0,0.007274010681322871
2003-12-12,57.20000076293945,8259.7001953125,144.4003511388772,0.01748251724933388,0.00012106976964702842,2003,12,4,4,50,0.3508785314727314,0.030276606366164138,,,,,,,-4.91230666831037,-0.4651508174384837,2000s,0.35087853147272474,0.0375528193710571
2003-12-15,57.20000076293945,8254.099609375,144.30243879861845,0.01748251724933388,0.00012115191811644735,2003,12,4,0,51,0.0,-0.0678061649341477,,,,,,,-4.91230666831037,-0.53264158144217,2000s,0.35087853147272474,0.0
2003-12-16,57.20000076293945,8241.099609375,144.07516607437714,0.01748251724933388,0.00012134303034784448,2003,12,4,1,51,0.0,-0.15749749355138398,,,,,,,-4.91230666831037,-0.6893001778531676,2000s,0.35087853147272474,0.0
2003-12-17,57.20000076293945,8252.7001953125,144.27797351813186,0.01748251724933388,0.00012117246190137816,2003,12,4,2,51,0.0,0.140765025146683,,,,,,,-4.91230666831037,-0.5495054462751747,2000s,0.35087853147272474,0.14076502514668404
2003-12-18,57.20000076293945,8252.5,144.27447360012783,0.01748251724933388,0.00012117540139351712,2003,12,4,3,51,0.0,-0.002425815887674432,,,,,,,-4.91230666831037,-0.5519179321724295,2000s,0.35087853147272474,0.13833579455866568
2003-12-19,57.20000076293945,8237.2001953125,144.00699450076718,0.01748251724933388,0.00012140047301133517,2003,12,4,4,51,0.0,-0.18539599742501967,,,,,,,-4.91230666831037,-0.7362906958421335,2000s,0.35087853147272474,0.0
2003-12-22,57.20000076293945,8241.0,144.0734246517605,0.01748251724933388,0.00012134449702705982,2003,12,4,0,52,0.0,0.04612980864131533,,,,,,,-4.91230666831037,-0.6905005366898505,2000s,0.35087853147272474,0.04612980864131886
2003-12-23,57.20000076293945,8243.2001953125,144.11188960426318,0.01748251724933388,0.0001213121089269008,2003,12,4,1,52,0.0,0.026698159355653672,,,,,,,-4.91230666831037,-0.6639867282678269,2000s,0.35087853147272474,0.0728402838068011
